timestamps population node_ids
2272.0 v1 4846
2636.25 v1 4846
2955.0 v1 4846
139.75 v1 4919
473.25 v1 4919
757.5 v1 4919
1189.25 v1 4919
1375.25 v1 4919
1609.25 v1 4919
2031.0 v1 4919
2272.25 v1 4919
2636.25 v1 4919
2955.0 v1 4919
139.75 v1 5056
473.25 v1 5056
757.5 v1 5056
1189.25 v1 5056
1375.25 v1 5056
1609.25 v1 5056
2031.0 v1 5056
2272.25 v1 5056
2636.25 v1 5056
2955.0 v1 5056
139.75 v1 5148
473.25 v1 5148
757.5 v1 5148
1189.25 v1 5148
1374.75 v1 5148
1609.0 v1 5148
2031.0 v1 5148
2271.5 v1 5148
2636.25 v1 5148
2954.75 v1 5148
139.75 v1 5261
473.25 v1 5261
757.5 v1 5261
1189.25 v1 5261
1375.0 v1 5261
1609.25 v1 5261
2031.0 v1 5261
2272.0 v1 5261
2636.25 v1 5261
2955.0 v1 5261
139.75 v1 5391
473.25 v1 5391
757.5 v1 5391
1189.25 v1 5391
1374.75 v1 5391
1609.0 v1 5391
2031.0 v1 5391
2271.75 v1 5391
2636.25 v1 5391
2954.75 v1 5391
139.75 v1 5486
473.25 v1 5486
757.75 v1 5486
1189.25 v1 5486
1375.5 v1 5486
1609.5 v1 5486
2031.0 v1 5486
2272.75 v1 5486
2636.25 v1 5486
2955.0 v1 5486
139.75 v1 5666
473.25 v1 5666
757.5 v1 5666
1189.25 v1 5666
1375.0 v1 5666
1609.25 v1 5666
2031.0 v1 5666
2272.0 v1 5666
2636.25 v1 5666
2955.0 v1 5666
139.75 v1 5744
473.25 v1 5744
757.5 v1 5744
1189.25 v1 5744
1375.0 v1 5744
1609.25 v1 5744
2031.0 v1 5744
2271.75 v1 5744
2636.25 v1 5744
2955.0 v1 5744
139.75 v1 5843
473.25 v1 5843
757.5 v1 5843
1189.25 v1 5843
1375.25 v1 5843
1609.25 v1 5843
2031.0 v1 5843
2272.25 v1 5843
2636.25 v1 5843
2955.0 v1 5843
139.75 v1 5991
473.25 v1 5991
757.5 v1 5991
1189.25 v1 5991
1372.75 v1 5991
1608.5 v1 5991
2031.0 v1 5991
2271.0 v1 5991
2636.25 v1 5991
2954.75 v1 5991
139.75 v1 6110
473.25 v1 6110
757.5 v1 6110
1189.25 v1 6110
1375.25 v1 6110
1609.5 v1 6110
2031.0 v1 6110
2272.5 v1 6110
2636.25 v1 6110
2955.0 v1 6110
139.75 v1 6185
473.25 v1 6185
757.75 v1 6185
1189.25 v1 6185
1375.25 v1 6185
1609.5 v1 6185
2031.0 v1 6185
2272.5 v1 6185
2636.25 v1 6185
2955.0 v1 6185
139.75 v1 6295
473.25 v1 6295
757.75 v1 6295
1189.25 v1 6295
1375.25 v1 6295
1609.5 v1 6295
2031.0 v1 6295
2272.5 v1 6295
2636.25 v1 6295
2955.0 v1 6295
139.75 v1 6399
473.25 v1 6399
757.75 v1 6399
1189.25 v1 6399
1375.5 v1 6399
1609.5 v1 6399
2031.0 v1 6399
2272.75 v1 6399
2636.25 v1 6399
2955.0 v1 6399
139.75 v1 6558
473.25 v1 6558
757.75 v1 6558
1189.25 v1 6558
1375.5 v1 6558
1609.5 v1 6558
2031.0 v1 6558
2272.75 v1 6558
2636.25 v1 6558
2954.75 v1 6558
139.75 v1 6702
473.25 v1 6702
757.5 v1 6702
1189.25 v1 6702
1375.25 v1 6702
1609.25 v1 6702
2031.0 v1 6702
2272.25 v1 6702
2636.25 v1 6702
2955.0 v1 6702
139.75 v1 6835
473.25 v1 6835
757.5 v1 6835
1189.25 v1 6835
1375.0 v1 6835
1609.0 v1 6835
2031.0 v1 6835
2271.75 v1 6835
2636.25 v1 6835
2954.75 v1 6835
139.75 v1 6983
473.25 v1 6983
757.75 v1 6983
1189.25 v1 6983
1375.5 v1 6983
1609.5 v1 6983
2031.0 v1 6983
2272.5 v1 6983
2636.25 v1 6983
2955.0 v1 6983
139.75 v1 7124
473.25 v1 7124
757.75 v1 7124
1189.25 v1 7124
1375.5 v1 7124
1609.5 v1 7124
2031.0 v1 7124
2277.0 v1 7124
2636.25 v1 7124
2955.75 v1 7124
139.75 v1 7263
473.25 v1 7263
757.5 v1 7263
1189.25 v1 7263
1375.25 v1 7263
1609.5 v1 7263
2031.0 v1 7263
2272.5 v1 7263
2636.25 v1 7263
2955.0 v1 7263
139.75 v1 7372
473.25 v1 7372
757.5 v1 7372
1189.25 v1 7372
1374.5 v1 7372
1608.75 v1 7372
2031.0 v1 7372
2271.25 v1 7372
2636.25 v1 7372
2954.75 v1 7372
139.75 v1 7512
473.25 v1 7512
757.5 v1 7512
1189.25 v1 7512
1375.25 v1 7512
1609.5 v1 7512
2031.0 v1 7512
2272.25 v1 7512
2636.25 v1 7512
2955.0 v1 7512
139.75 v1 7653
473.25 v1 7653
757.5 v1 7653
1189.25 v1 7653
1374.75 v1 7653
1609.0 v1 7653
2031.0 v1 7653
2271.5 v1 7653
2636.25 v1 7653
2954.75 v1 7653
139.75 v1 7752
473.25 v1 7752
757.5 v1 7752
1189.25 v1 7752
1375.5 v1 7752
1609.25 v1 7752
2031.0 v1 7752
2271.5 v1 7752
2636.25 v1 7752
2955.0 v1 7752
139.75 v1 7868
473.25 v1 7868
757.75 v1 7868
1189.25 v1 7868
1375.5 v1 7868
1609.5 v1 7868
2031.0 v1 7868
2277.0 v1 7868
2636.25 v1 7868
2955.75 v1 7868
139.75 v1 7966
473.25 v1 7966
757.75 v1 7966
1189.25 v1 7966
1375.5 v1 7966
1609.5 v1 7966
2031.0 v1 7966
2277.0 v1 7966
2636.25 v1 7966
2955.75 v1 7966
139.75 v1 8084
473.25 v1 8084
757.75 v1 8084
1189.25 v1 8084
1375.5 v1 8084
1609.5 v1 8084
2031.0 v1 8084
2272.75 v1 8084
2636.25 v1 8084
2955.0 v1 8084
139.75 v1 8145
473.25 v1 8145
757.75 v1 8145
1189.25 v1 8145
1375.5 v1 8145
1609.5 v1 8145
2031.0 v1 8145
2272.75 v1 8145
2636.25 v1 8145
2955.0 v1 8145
139.75 v1 8277
473.25 v1 8277
757.75 v1 8277
1189.25 v1 8277
1375.25 v1 8277
1609.5 v1 8277
2031.0 v1 8277
2272.5 v1 8277
2636.25 v1 8277
2955.0 v1 8277
139.75 v1 8359
473.25 v1 8359
757.5 v1 8359
1189.25 v1 8359
1374.5 v1 8359
1608.75 v1 8359
2031.0 v1 8359
2271.25 v1 8359
2636.25 v1 8359
2954.75 v1 8359
139.75 v1 8480
473.25 v1 8480
757.5 v1 8480
1189.25 v1 8480
1375.5 v1 8480
1609.25 v1 8480
2031.0 v1 8480
2272.75 v1 8480
2636.25 v1 8480
2955.0 v1 8480
139.75 v1 8587
473.25 v1 8587
757.75 v1 8587
1189.25 v1 8587
1375.5 v1 8587
1609.5 v1 8587
2031.0 v1 8587
2271.0 v1 8587
2636.25 v1 8587
2955.0 v1 8587
139.75 v1 8665
473.25 v1 8665
757.5 v1 8665
1189.25 v1 8665
1375.25 v1 8665
1609.25 v1 8665
2031.0 v1 8665
2272.5 v1 8665
2636.25 v1 8665
2955.0 v1 8665
139.75 v1 8720
473.25 v1 8720
757.75 v1 8720
1189.25 v1 8720
1375.5 v1 8720
1609.5 v1 8720
2031.0 v1 8720
2277.0 v1 8720
2636.25 v1 8720
2955.75 v1 8720
139.75 v1 8840
473.25 v1 8840
757.5 v1 8840
1189.25 v1 8840
1375.25 v1 8840
1609.25 v1 8840
2031.0 v1 8840
2272.25 v1 8840
2636.25 v1 8840
2955.0 v1 8840
139.75 v1 8913
473.25 v1 8913
757.5 v1 8913
1189.25 v1 8913
1374.5 v1 8913
1608.75 v1 8913
2031.0 v1 8913
2271.25 v1 8913
2636.25 v1 8913
2954.75 v1 8913
139.75 v1 9083
473.25 v1 9083
757.75 v1 9083
1189.25 v1 9083
1375.5 v1 9083
1609.5 v1 9083
2031.0 v1 9083
2277.0 v1 9083
2636.25 v1 9083
2955.75 v1 9083
139.75 v1 9208
473.25 v1 9208
757.5 v1 9208
1189.25 v1 9208
1374.25 v1 9208
1608.5 v1 9208
2031.0 v1 9208
2271.0 v1 9208
2636.25 v1 9208
2954.75 v1 9208
139.75 v1 9392
473.25 v1 9392
757.75 v1 9392
1189.25 v1 9392
1375.25 v1 9392
1609.5 v1 9392
2031.0 v1 9392
2272.5 v1 9392
2636.25 v1 9392
2955.0 v1 9392
139.75 v1 9499
473.25 v1 9499
757.75 v1 9499
1189.25 v1 9499
1375.5 v1 9499
1609.5 v1 9499
2031.0 v1 9499
2277.0 v1 9499
2636.25 v1 9499
2955.75 v1 9499
139.75 v1 9603
473.25 v1 9603
757.75 v1 9603
1189.25 v1 9603
1375.5 v1 9603
1609.5 v1 9603
2031.0 v1 9603
2277.0 v1 9603
2636.25 v1 9603
2955.75 v1 9603
139.75 v1 9790
473.25 v1 9790
757.5 v1 9790
1189.25 v1 9790
1373.25 v1 9790
1608.75 v1 9790
2031.0 v1 9790
2256.75 v1 9790
2635.75 v1 9790
2954.0 v1 9790
139.75 v1 9909
473.25 v1 9909
757.5 v1 9909
1189.25 v1 9909
1375.0 v1 9909
1609.25 v1 9909
2031.0 v1 9909
2272.0 v1 9909
2636.25 v1 9909
2955.0 v1 9909
139.75 v1 10031
473.25 v1 10031
757.5 v1 10031
1189.25 v1 10031
1366.25 v1 10031
1608.25 v1 10031
2031.0 v1 10031
2271.75 v1 10031
2636.25 v1 10031
2955.0 v1 10031
139.75 v1 10204
473.25 v1 10204
757.75 v1 10204
1189.25 v1 10204
1375.5 v1 10204
1609.5 v1 10204
2031.0 v1 10204
2277.0 v1 10204
2636.25 v1 10204
2955.75 v1 10204
139.75 v1 10385
473.25 v1 10385
757.5 v1 10385
1189.25 v1 10385
1374.5 v1 10385
1608.75 v1 10385
2031.0 v1 10385
2271.25 v1 10385
2636.25 v1 10385
2954.75 v1 10385
139.75 v1 10504
473.25 v1 10504
757.75 v1 10504
1189.25 v1 10504
1375.5 v1 10504
1609.5 v1 10504
2031.0 v1 10504
2276.75 v1 10504
2636.25 v1 10504
2955.75 v1 10504
139.75 v1 10646
473.25 v1 10646
757.75 v1 10646
1189.25 v1 10646
1375.5 v1 10646
